280,-173,-390
280,-175,-386
280,-175,-385
278,-174,-387
282,-176,-385
278,-175,-384
278,-175,-384
277,-175,-387
280,-176,-384
278,-174,-386
279,-174,-387
280,-175,-383
278,-176,-385
281,-175,-386
281,-177,-385
278,-179,-387
284,-177,-387
279,-175,-385
281,-175,-385
289,-178,-386
283,-178,-387
284,-177,-388
288,-180,-391
291,-184,-393
294,-185,-394
294,-188,-400
290,-187,-403
292,-187,-407
290,-187,-412
284,-189,-416
276,-186,-416
274,-184,-414
273,-185,-413
270,-182,-410
269,-186,-410
270,-182,-406
270,-183,-407
269,-182,-406
271,-184,-408
271,-181,-405
271,-185,-406
269,-185,-408
270,-183,-404
269,-181,-407
274,-178,-407
270,-182,-408
273,-184,-406
270,-182,-408
274,-180,-407
271,-181,-407
271,-183,-404
273,-181,-404
273,-183,-409
269,-182,-407
270,-186,-404
271,-184,-404
265,-184,-409
272,-184,-408
266,-184,-410
271,-191,-415
271,-186,-419
278,-195,-424
282,-192,-422
291,-190,-419
294,-189,-410
297,-188,-399
291,-182,-390
286,-177,-390
284,-176,-384
284,-176,-386
278,-175,-382
281,-175,-388
280,-178,-385
280,-174,-385
278,-175,-386
281,-175,-384
280,-175,-386
277,-172,-389
277,-174,-387
276,-175,-384
277,-174,-386
277,-174,-384
277,-174,-386
275,-174,-386
279,-175,-387
277,-172,-385
278,-171,-388
279,-173,-385
278,-174,-387
281,-174,-388
279,-173,-388
278,-174,-388
278,-174,-386
279,-174,-386
279,-174,-387
277,-175,-385
