-1659,1513,2370,-115,306,-454,,,,m1x,m1y,m1z,m2x,m2y,m2z
-1657,1515,2362,-118,312,-457,,,,-9,13,0,0,6,-4
-1653,1514,2360,-116,312,-452,,,,-7,15,-8,-3,12,-7
-1649,1517,2369,-116,308,-459,,,,-3,14,-10,-1,12,-2
-1654,1518,2368,-117,311,-455,,,,1,17,-1,-1,8,-9
-1655,1516,2361,-118,310,-457,,,,-4,18,-2,-2,11,-5
-1656,1514,2360,-117,311,-454,,,,-5,16,-9,-3,10,-7
-1655,1517,2360,-118,310,-454,,,,-6,14,-10,-2,11,-4
-1656,1516,2376,-112,306,-454,,,,-5,17,-10,-3,10,-4
-1655,1522,2371,-118,312,-454,,,,-6,16,6,3,6,-4
-1660,1519,2363,-121,307,-455,,,,-5,22,1,-3,12,-4
-1657,1517,2353,-119,312,-455,,,,-10,19,-7,-6,7,-5
-1657,1522,2361,-118,309,-458,,,,-7,17,-17,-4,12,-5
-1658,1509,2357,-117,312,-457,,,,-7,22,-9,-3,9,-8
-1650,1518,2357,-118,312,-455,,,,-8,9,-13,-2,12,-7
-1650,1512,2377,-115,312,-456,,,,0,18,-13,-3,12,-5
-1658,1517,2370,-116,310,-457,,,,0,12,7,0,12,-6
-1652,1510,2375,-118,310,-455,,,,-8,17,0,-1,10,-7
-1658,1514,2373,-115,310,-454,,,,-2,10,5,-3,10,-5
-1660,1513,2369,-118,309,-459,,,,-8,14,3,0,10,-4
-1654,1512,2367,-120,307,-458,,,,-10,13,-1,-3,9,-9
-1654,1512,2368,-119,310,-459,,,,-4,12,-3,-5,7,-8
-1654,1517,2371,-118,312,-456,,,,-4,12,-2,-4,10,-9
-1651,1513,2378,-119,313,-458,,,,-4,17,1,-3,12,-6
-1653,1511,2365,-123,310,-460,,,,-1,13,8,-4,13,-8
-1652,1509,2371,-121,314,-460,,,,-3,11,-5,-8,10,-10
-1651,1509,2366,-123,315,-459,,,,-2,9,1,-6,14,-10
-1646,1511,2377,-122,315,-463,,,,-1,9,-4,-8,15,-9
-1649,1505,2376,-120,318,-470,,,,4,11,7,-7,15,-13
-1654,1513,2379,-118,316,-471,,,,1,5,6,-5,18,-20
-1654,1516,2380,-115,317,-470,,,,-4,13,9,-3,16,-21
-1656,1513,2383,-115,315,-472,,,,-4,16,10,0,17,-20
-1659,1512,2383,-113,314,-468,,,,-6,13,13,0,15,-22
-1661,1511,2383,-109,318,-471,,,,-9,12,13,2,14,-18
-1659,1514,2382,-114,312,-469,,,,-11,11,13,6,18,-21
-1659,1516,2372,-111,315,-470,,,,-9,14,12,1,12,-19
-1661,1510,2383,-111,313,-468,,,,-9,16,2,4,15,-20
-1659,1516,2373,-111,315,-470,,,,-11,10,13,4,13,-18
-1665,1514,2380,-110,315,-470,,,,-9,16,3,4,15,-20
-1668,1514,2374,-111,316,-470,,,,-15,14,10,5,15,-20
-1658,1510,2381,-111,313,-470,,,,-18,14,4,4,16,-20
-1659,1513,2376,-114,315,-470,,,,-8,10,11,4,13,-20
-1659,1517,2379,-107,315,-472,,,,-9,13,6,1,15,-20
-1661,1514,2379,-113,317,-470,,,,-9,17,9,8,15,-22
-1660,1510,2387,-111,313,-469,,,,-11,14,9,2,17,-20
-1657,1510,2385,-112,317,-469,,,,-10,10,17,4,13,-19
-1656,1513,2382,-108,313,-472,,,,-7,10,15,3,17,-19
-1660,1514,2389,-109,316,-470,,,,-6,13,12,7,13,-22
-1660,1510,2374,-112,314,-471,,,,-10,14,19,6,16,-20
-1654,1508,2372,-113,313,-471,,,,-10,10,4,3,14,-21
-1659,1508,2385,-113,318,-469,,,,-4,8,2,2,13,-21
-1655,1515,2374,-119,316,-470,,,,-9,8,15,2,18,-19
-1652,1515,2364,-120,318,-468,,,,-5,15,4,-4,16,-20
-1653,1517,2366,-124,316,-465,,,,-2,15,-6,-5,18,-18
-1651,1516,2364,-122,311,-461,,,,-3,17,-4,-9,16,-15
-1651,1516,2369,-117,311,-460,,,,-1,16,-6,-7,11,-11
-1650,1518,2371,-121,311,-458,,,,-1,16,-1,-2,11,-10
-1658,1515,2356,-121,309,-457,,,,0,18,1,-6,11,-8
-1653,1510,2366,-116,308,-455,,,,-8,15,-14,-6,9,-7
-1652,1516,2356,-117,308,-456,,,,-3,10,-4,-1,8,-5
-1654,1517,2357,-117,311,-455,,,,-2,16,-14,-2,8,-6
-1659,1517,2368,-120,307,-456,,,,-4,17,-13,-2,11,-5
-1655,1516,2365,-114,308,-456,,,,-9,17,-2,-5,7,-6
-1658,1519,2363,-118,309,-453,,,,-5,16,-5,1,8,-6
-1655,1517,2359,-118,307,-457,,,,-8,19,-7,-3,9,-3
-1657,1512,2368,-117,310,-457,,,,-5,17,-11,-3,7,-7
-1655,1512,2359,-114,311,-458,,,,-7,12,-2,-2,10,-7
-1655,1513,2366,-118,310,-458,,,,-5,12,-11,1,11,-8
-1659,1514,2363,-117,310,-459,,,,-5,13,-4,-3,10,-8
-1656,1515,2368,-117,308,-456,,,,-9,14,-7,-2,10,-9
-1659,1520,2364,-118,310,-459,,,,-6,15,-2,-2,8,-6
-1656,1516,2358,-117,311,-457,,,,-9,20,-6,-3,10,-9
-1656,1517,2368,-119,309,-456,,,,-6,16,-12,-2,11,-7
-1657,1515,2361,-117,309,-458,,,,-6,17,-2,-4,9,-6
,,,,,,,,,-7,15,-9,-2,9,-8
