-1570,1659,2329
-1574,1661,2323
-1576,1657,2320
-1572,1659,2318
-1577,1657,2331
-1575,1659,2334
-1572,1656,2327
-1574,1659,2324
-1571,1656,2327
-1578,1659,2322
-1572,1660,2317
-1572,1660,2317
-1573,1658,2328
-1569,1662,2326
-1576,1656,2325
-1569,1658,2335
-1568,1658,2334
-1565,1663,2322
-1563,1662,2329
-1568,1663,2334
-1571,1664,2333
-1568,1661,2338
-1571,1665,2335
-1573,1666,2351
-1575,1665,2341
-1572,1658,2342
-1575,1660,2338
-1571,1662,2337
-1571,1658,2335
-1574,1660,2333
-1573,1662,2345
-1576,1661,2336
-1575,1658,2340
-1574,1659,2351
-1577,1656,2343
-1573,1662,2341
-1570,1659,2349
-1578,1661,2341
-1579,1659,2332
-1577,1657,2334
-1577,1660,2345
-1575,1659,2344
-1573,1659,2346
-1575,1664,2338
-1576,1661,2350
-1575,1660,2332
-1572,1658,2325
-1574,1660,2344
-1582,1664,2339
-1573,1665,2340
-1571,1660,2339
-1574,1663,2337
-1568,1663,2336
-1564,1667,2337
-1571,1657,2327
-1573,1658,2332
-1567,1658,2330
-1570,1660,2332
-1573,1657,2326
-1574,1659,2330
-1570,1657,2333
-1568,1663,2339
-1571,1662,2328
-1572,1658,2334
-1574,1662,2333
-1574,1660,2330
-1576,1660,2338
-1570,1659,2330
-1572,1665,2335
-1574,1652,2345
-1573,1661,2338
-1581,1659,2334
-1577,1659,2326
-1574,1661,2329
-1580,1658,2334
-1570,1661,2328
-1568,1662,2337
-1570,1655,2325
-1573,1657,2336
-1573,1658,2329
-1575,1654,2329
-1572,1658,2329
-1572,1661,2339
-1574,1664,2330
-1578,1661,2332
-1571,1663,2329
-1573,1664,2331
-1578,1666,2328
-1575,1664,2331
-1575,1662,2335
-1573,1660,2343
